area,district,property_type,price,listing_type,price_text
65.0,Huyện Đông Anh,khac,7250000000,ban,"7,25 tỷ"
50.0,Quận Hai Bà Trưng,khac,35000000,ban,35 triệu/tháng
60.7999,Quận Cầu Giấy,khac,27888666000,ban,"27,888 tỷ"
42.0,Quận Hai Bà Trưng,khac,11500000000,ban,"11,5 tỷ"
55.0,Quận Long Biên,khac,12500000000,ban,"12,5 tỷ"
40.0,Quận Hoàn Kiếm,khac,12000000,ban,12 triệu/tháng
38.0,Quận Hoàng Mai,khac,13000000,ban,13 triệu/tháng
148.0,Quận Long Biên,biet_thu,38000000000,ban,38 tỷ
60.0,Quận Long Biên,khac,13600000000,ban,"13,6 tỷ"
70.0,Quận Long Biên,nha_pho,16800000000,ban,"16,8 tỷ"
25.0,Quận Hà Đông,khac,6500000000,ban,"6,5 tỷ"
33.0,Quận Nam Từ Liêm,khac,8400000000,ban,"8,4 tỷ"
27.0,Quận Hai Bà Trưng,khac,6150000000,ban,"6,15 tỷ"
42.0,Quận Hai Bà Trưng,khac,9000000,ban,9 triệu/tháng
50.0,Quận Đống Đa,nha_pho,9500000000,ban,"9,5 tỷ"
40.0,Quận Hoàng Mai,nha_pho,8900000000,ban,"8,9 tỷ"
75.0,Quận Hoàng Mai,khac,15900000000,ban,"15,9 tỷ"
34.0,Quận Nam Từ Liêm,khac,8100000000,ban,"8,1 tỷ"
55.0,Quận Hà Đông,khac,8600000000,ban,"8,6 tỷ"
88.0,Quận Long Biên,khac,20600000000,ban,"20,6 tỷ"
63.0,Quận Hà Đông,khac,17000000000,ban,17 tỷ
58.0,Quận Thanh Xuân,khac,11120000000,ban,"11,12 tỷ"
50.0,Quận Thanh Xuân,khac,10900000000,ban,"10,9 tỷ"
45.0,Quận Hoàng Mai,khac,11750000000,ban,"11,75 tỷ"
25.0,Quận Hai Bà Trưng,khac,7000000,ban,7 triệu/tháng
75.0,Quận Ba Đình,khac,48500000000,ban,"48,5 tỷ"
55.0,Huyện Thanh Trì,khac,650000000,ban,650 triệu
50.0,Quận Thanh Xuân,khac,18250000000,ban,"18,25 tỷ"
36.0,Quận Hoàng Mai,khac,8810000000,ban,"8,81 tỷ"
48.0,Quận Thanh Xuân,khac,20650000000,ban,"20,65 tỷ"
45.0,Quận Thanh Xuân,khac,11000000000,ban,11 tỷ
32.0,Quận Long Biên,khac,6600000000,ban,"6,6 tỷ"
